"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.482815","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/0"
"7","0.482830","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/1"
"8","0.482832","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/2"
"9","0.482833","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/3"
"10","0.482835","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/4"
"11","0.482836","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/5"
"12","0.482837","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/6"
"13","0.482839","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/7"
"14","0.482840","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/8"
"15","0.482843","10.0.0.5","10.0.0.6","UDP (NDN)","82","Interest /example/liveStream/9"
"16","0.548288","10.0.0.6","10.0.0.5","UDP (NDN)","218","Data /example/liveStream/0"
"17","0.551819","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/10"
"18","0.554204","10.0.0.6","10.0.0.5","UDP (NDN)","219","Data /example/liveStream/1"
"19","0.557862","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/11"
"20","0.558876","10.0.0.6","10.0.0.5","UDP (NDN)","219","Data /example/liveStream/2"
"21","0.563360","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/12"
"22","0.563490","10.0.0.6","10.0.0.5","UDP (NDN)","218","Data /example/liveStream/3"
"23","0.570249","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/13"
"24","0.570232","10.0.0.6","10.0.0.5","UDP (NDN)","219","Data /example/liveStream/4"
"25","0.574403","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/14"
"26","0.576677","10.0.0.6","10.0.0.5","UDP (NDN)","220","Data /example/liveStream/5"
"27","0.580386","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/15"
"28","0.582730","10.0.0.6","10.0.0.5","UDP (NDN)","219","Data /example/liveStream/6"
"29","0.586736","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/16"
"30","0.589380","10.0.0.6","10.0.0.5","UDP (NDN)","219","Data /example/liveStream/7"
"31","0.593938","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/17"
"32","0.594519","10.0.0.6","10.0.0.5","UDP (NDN)","219","Data /example/liveStream/8"
"33","0.599398","10.0.0.5","10.0.0.6","UDP (NDN)","83","Interest /example/liveStream/18"
"34","0.602272","10.0.0.6","10.0.0.5","UDP (NDN)","220","Data /example/liveStream/9"
